id,source,district,price,size_sqm,bedrooms,property_type,latitude,longitude,first_seen,last_seen,transaction_type,rent_frequency,bathrooms,furnishing,building_name,community,subcommunity,developer,floor,total_floors,parking_spaces,completion_status,year_built,service_charge_aed,amenities,listing_url,agent_name,agency_name,photos_count,title,description_short,verified_flag,scraped_at,price_per_sqm,days_on_market,missing_size_flag,raw_usage,raw_property_type,raw_property_subtype,annual_amount_aed,contract_amount_aed,start_date,end_date,size_imputed_flag
DubaiPulse_DLD_sale_1-102-2025-1105,DubaiPulse_DLD,Marina,20859730.0,504.72,0,Apartment,25.081477937746055,55.140072431425104,2025-01-08,2025-01-08,sale,,,,The S Tower,Al Safouh Second,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.158948+00:00,41329.31130131558,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2025-18111,DubaiPulse_DLD,Marina,20333505.0,601.63,0,Apartment,25.08169368413446,55.138730756363984,2025-03-05,2025-03-05,sale,,,,"The Residences, Al Habtoor Grand",Marsa Dubai,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.159589+00:00,33797.358841813075,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2025-92620,DubaiPulse_DLD,Marina,11130186.0,202.08,0,Apartment,25.080753809478974,55.14171959339847,2025-09-23,2025-09-23,sale,,,,"The Residences, Al Habtoor Grand",Marsa Dubai,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.159678+00:00,55078.11757719715,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2007-200831,DubaiPulse_DLD,Marina,484469.0,83.59,0,Apartment,25.078088114826485,55.139539240958094,2007-10-01,2007-10-01,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.160392+00:00,5795.7770068189975,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2007-200264,DubaiPulse_DLD,Marina,784463.0,135.35,0,Apartment,25.079475769664718,55.14171205363997,2007-08-23,2007-08-23,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.160551+00:00,5795.810860731437,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2020-10910,DubaiPulse_DLD,Marina,4800000.0,449.1,0,Apartment,25.079803465752065,55.14079186787926,2020-11-19,2020-11-19,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.160648+00:00,10688.042752171008,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2013-29594,DubaiPulse_DLD,Marina,2600000.0,201.93,0,Apartment,25.081373092656825,55.139849476644166,2013-09-30,2013-09-30,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.160737+00:00,12875.749021938294,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2007-201003,DubaiPulse_DLD,Marina,922983.0,159.25,0,Apartment,25.081787169579354,55.13989710988514,2007-10-04,2007-10-04,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.160894+00:00,5795.811616954474,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2007-200858,DubaiPulse_DLD,Marina,760001.0,131.13,0,Apartment,25.081151200503804,55.140262096311425,2007-10-01,2007-10-01,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.160983+00:00,5795.782810950965,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-11-2011-11711,DubaiPulse_DLD,Marina,600000.0,78.29,0,Apartment,25.07850056533936,55.14095685847593,2011-07-18,2011-07-18,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.161074+00:00,7663.814024779665,,False,Residential,Unit,Flat,,,,,
